,id,true,hb,err[%]
396,396,308.0167,315.3752,2.3890
397,397,362.0833,378.2353,4.4608
398,398,285.0500,302.5088,6.1248
399,399,344.0000,354.0884,2.9327
400,400,377.6667,380.3588,0.7128
401,401,369.1667,370.9631,0.4866
402,402,325.3667,345.6957,6.2480
403,403,328.9333,349.7215,6.3199
404,404,400.6667,385.6018,3.7599
405,405,427.7500,388.7259,9.1231
406,406,343.0000,354.4418,3.3358
407,407,325.2833,332.9705,2.3632
408,408,363.2000,372.1589,2.4667
409,409,370.0833,384.6231,3.9288
410,410,341.8333,353.9213,3.5362
411,411,408.8333,393.1814,3.8284
412,412,384.3333,383.3294,0.2612
413,413,352.1667,363.7404,3.2864
414,414,247.1833,252.7462,2.2505
415,415,293.3667,307.4159,4.7890
416,416,277.5500,271.1536,2.3046
417,417,388.9167,375.7953,3.3738
418,418,362.9167,374.2296,3.1172
419,419,417.5833,388.7259,6.9106
420,420,444.1667,395.6948,10.9130
421,421,393.7500,382.6859,2.8099
422,422,379.2000,379.0876,0.0296
423,423,370.5833,374.2296,0.9839
424,424,430.9167,413.4324,4.0575
425,425,344.5000,350.1649,1.6444
426,426,392.8333,398.9253,1.5508
427,427,389.5000,378.2485,2.8887
428,428,345.0833,350.9725,1.7066
429,429,356.2500,363.4587,2.0235
430,430,393.1667,382.6859,2.6657
431,431,358.7500,361.9516,0.8924
432,432,305.9000,307.5179,0.5289
433,433,331.9833,336.4143,1.3347
434,434,473.2500,472.5459,0.1488
435,435,315.3333,338.2539,7.2687
436,436,289.4667,290.3868,0.3179
437,437,344.7000,346.3656,0.4832
438,438,412.0000,371.1378,9.9180
439,439,293.9500,307.8316,4.7225
440,440,407.9167,406.8444,0.2629
441,441,385.0000,373.8628,2.8928
442,442,326.8167,333.8133,2.1408
443,443,356.6167,356.2182,0.1117
444,444,349.1667,346.6003,0.7350
445,445,369.1667,377.4008,2.2305
446,446,345.0833,364.6002,5.6557
447,447,336.5333,340.9410,1.3097
448,448,360.7500,374.5761,3.8326
449,449,189.2095,196.3632,3.7808
450,450,396.9167,384.6078,3.1011
451,451,293.3833,275.7143,6.0225
452,452,347.3333,363.4027,4.6265
453,453,358.4167,371.6670,3.6969
454,454,337.5833,350.2356,3.7479
455,455,370.3333,365.0340,1.4310
456,456,275.9167,268.8887,2.5471
457,457,360.9167,363.0320,0.5861
458,458,391.6667,386.6190,1.2888
459,459,402.2500,397.2837,1.2346
460,460,386.0833,370.2618,4.0979
461,461,303.9167,313.7308,3.2292
462,462,362.1667,375.4009,3.6542
463,463,247.8500,262.2262,5.8004
464,464,390.0000,383.1583,1.7543
465,465,314.4833,337.9398,7.4587
466,466,368.0000,363.9818,1.0919
467,467,358.7500,364.8918,1.7120
468,468,359.3333,365.9675,1.8462
469,469,336.0000,354.0852,5.3825
470,470,344.0833,344.6568,0.1667
471,471,338.3333,352.3335,4.1380
472,472,290.7167,299.9597,3.1794
473,473,418.8333,392.0813,6.3873
474,474,402.0000,388.7259,3.3020
475,475,273.7167,268.8887,1.7638
476,476,299.6000,315.3327,5.2512
477,477,299.0667,302.3346,1.0927
478,478,364.9167,372.3846,2.0465
479,479,269.5833,272.6879,1.1516
480,480,378.1667,384.6231,1.7073
481,481,370.2500,379.0472,2.3760
482,482,372.2500,375.7829,0.9491
483,483,372.8667,372.3733,0.1323
484,484,358.8333,387.1364,7.8875
485,485,348.7500,343.9038,1.3896
486,486,386.9167,383.6361,0.8479
487,487,298.5833,319.7105,7.0758
488,488,284.8500,311.1093,9.2187
489,489,369.5833,382.6859,3.5452
490,490,381.0833,384.6078,0.9248
491,491,306.2167,315.2912,2.9634
492,492,362.9167,380.8617,4.9447
493,493,410.5000,379.0876,7.6522
494,494,419.9167,395.6948,5.7683
495,495,395.9167,393.2557,0.6721
496,496,349.1667,369.2732,5.7584
497,497,332.2000,352.2954,6.0492
498,498,405.0833,414.3125,2.2783
499,499,341.7000,343.6775,0.5787
500,500,300.7167,319.3502,6.1964
501,501,336.4167,361.6890,7.5122
502,502,320.1667,337.3074,5.3537
503,503,301.7167,324.1777,7.4444
504,504,365.9167,366.5427,0.1711
505,505,325.8333,329.6898,1.1836
506,506,391.8333,375.7953,4.0931
507,507,272.4333,290.5375,6.6454
508,508,354.3333,354.7127,0.1071
509,509,380.5833,376.1936,1.1534
510,510,331.0000,339.7188,2.6341
511,511,358.0833,352.0972,1.6717
512,512,315.8333,326.4462,3.3603
513,513,385.0000,398.8627,3.6007
514,514,303.3167,317.2187,4.5833
515,515,375.1667,385.3512,2.7147
516,516,320.6833,327.0073,1.9720
517,517,321.1833,327.0073,1.8133
518,518,407.3333,377.7768,7.2561
519,519,319.2000,349.5439,9.5062
520,520,380.0833,375.7953,1.1282
521,521,339.5833,346.6801,2.0898
522,522,274.9833,268.8887,2.2164
523,523,330.0000,332.1248,0.6439
524,524,0.0000,0.0000,0.0000
525,525,349.2500,354.6508,1.5464
526,526,392.9167,388.1898,1.2030
527,527,326.0833,341.9496,4.8657
528,528,322.5000,348.4231,8.0382
529,529,355.6667,361.8364,1.7347
530,530,314.3167,335.8085,6.8376
531,531,383.0833,352.3920,8.0117
532,532,337.0000,354.2917,5.1311
533,533,428.1667,399.5972,6.6725
534,534,263.8833,266.8297,1.1165
535,535,307.9500,320.2003,3.9780
536,536,332.2500,347.7754,4.6728
537,537,353.2000,359.1254,1.6776
538,538,297.6167,324.0520,8.8823
539,539,324.6667,357.1884,10.0170
540,540,327.3333,340.7087,4.0862
541,541,349.7500,357.9378,2.3411
542,542,318.2667,323.3831,1.6076
543,543,367.8333,367.6364,0.0535
544,544,368.4167,366.5331,0.5113
545,545,340.5000,338.1657,0.6855
546,546,421.1667,399.5972,5.1214
547,547,334.9167,321.9421,3.8740
548,548,361.5833,370.6054,2.4951
549,549,377.7500,363.9818,3.6448
550,550,368.5833,359.9488,2.3426
551,551,341.3333,333.9107,2.1746
552,552,364.4167,374.5761,2.7879
553,553,314.0833,319.5455,1.7391
554,554,320.0833,316.6992,1.0573
555,555,323.9000,341.2213,5.3477
556,556,302.3000,315.7573,4.4516
557,557,353.5000,369.2505,4.4556
558,558,290.4000,294.1856,1.3036
559,559,324.7500,340.6400,4.8930
560,560,363.7500,376.1811,3.4175
561,561,248.3500,262.2262,5.5874
562,562,369.3333,376.5835,1.9630
563,563,342.6667,355.0302,3.6080
564,564,269.8500,269.9936,0.0532
565,565,298.1667,315.1817,5.7066
566,566,298.5167,310.4030,3.9818
567,567,296.0667,308.4117,4.1697
568,568,351.3333,343.8006,2.1440
569,569,333.3667,342.0168,2.5948
570,570,291.1167,298.4589,2.5221
571,571,344.3333,360.5085,4.6975
572,572,363.5833,366.6872,0.8537
573,573,346.5833,355.7832,2.6544
574,574,287.8833,280.3816,2.6058
575,575,311.2167,320.8120,3.0832
576,576,367.8333,388.1898,5.5342
577,577,315.4000,338.7117,7.3912
578,578,226.3167,243.8816,7.7612
579,579,316.3167,337.1499,6.5862
580,580,0.0000,0.0000,0.0000
581,581,365.2500,365.0294,0.0604
582,582,349.5000,374.6121,7.1851
583,583,237.9000,247.8658,4.1891
584,584,309.6167,326.5683,5.4750
585,585,311.8167,321.8398,3.2144
586,586,352.5000,351.2522,0.3540
587,587,311.7333,338.1791,8.4835
588,588,335.8333,337.3122,0.4404
589,589,348.2500,361.0283,3.6693
590,590,346.6667,350.2540,1.0348
591,591,334.8333,339.4627,1.3826
592,592,345.2500,364.0245,5.4379
593,593,373.8333,376.3818,0.6817
594,594,320.0333,341.9252,6.8405
595,595,238.5667,251.0616,5.2375
596,596,296.3500,317.3211,7.0765
597,597,338.8333,348.1904,2.7615
598,598,314.0833,319.5455,1.7391
599,599,271.9000,273.6157,0.6310
600,600,309.6833,328.1025,5.9477
601,601,391.4167,394.4598,0.7775
602,602,340.9500,360.1312,5.6258
603,603,189.2095,196.3632,3.7808
604,604,318.6167,348.3582,9.3346
605,605,227.4333,233.1041,2.4934
606,606,263.3000,271.1536,2.9828
607,607,359.7500,349.2650,2.9145
608,608,314.9000,331.6571,5.3214
609,609,295.8333,269.9936,8.7346
610,610,324.8333,341.1837,5.0335
611,611,376.7500,389.8174,3.4685
612,612,386.0000,379.5341,1.6751
613,613,286.4667,282.9854,1.2153
614,614,248.0667,255.5645,3.0225
615,615,383.6667,384.8542,0.3095
616,616,296.9333,315.4046,6.2207
617,617,282.0667,293.0724,3.9018
618,618,301.1833,322.7676,7.1665
619,619,295.6167,315.4054,6.6941
620,620,301.5333,322.9265,7.0948
621,621,336.7500,353.4777,4.9674
622,622,254.6167,270.2872,6.1546
623,623,324.2500,346.8525,6.9707
624,624,334.1667,352.2893,5.4232
625,625,292.0667,301.0789,3.0857
626,626,283.7000,289.2007,1.9389
627,627,337.7500,343.4744,1.6949
628,628,281.0500,269.4345,4.1329
629,629,278.4000,296.5191,6.5083
630,630,273.7333,293.7437,7.3102
631,631,269.7167,268.8550,0.3195
632,632,253.6333,263.6434,3.9467
633,633,0.0000,0.0000,0.0000
634,634,0.0000,0.0000,0.0000
635,635,254.8667,263.2326,3.2825
636,636,282.7000,299.7320,6.0248
637,637,276.7167,274.9666,0.6325
638,638,297.2667,304.6880,2.4965
639,639,286.0333,318.4451,11.3315
640,640,325.4167,346.0586,6.3432
641,641,349.0000,369.2505,5.8024
642,642,349.0833,338.1657,3.1275
643,643,331.4500,328.6388,0.8482
644,644,338.0000,337.0732,0.2742
645,645,275.0333,293.2478,6.6226
646,646,291.6667,301.9376,3.5214
647,647,334.7500,348.1141,3.9923
648,648,0.0000,0.0000,0.0000
649,649,316.9000,315.3008,0.5046
650,650,270.0167,277.1824,2.6538
651,651,334.0833,333.6447,0.1313
652,652,289.2667,281.2420,2.7741
653,653,0.0000,0.0000,0.0000
654,654,378.6167,374.6121,1.0577
655,655,360.8667,360.8905,0.0066
656,656,297.2167,320.1375,7.7118
657,657,266.4500,263.6434,1.0533
658,658,0.0000,0.0000,0.0000
659,659,270.0667,273.3297,1.2082
660,660,0.0000,0.0000,0.0000
661,661,363.5833,361.0283,0.7027
662,662,343.0833,358.5202,4.4994
663,663,344.5833,357.0120,3.6069
664,664,319.8167,343.5603,7.4241
665,665,345.4167,345.1058,0.0900
666,666,348.6667,361.1485,3.5799
667,667,361.6667,375.7953,3.9065
668,668,255.8333,260.1770,1.6978
669,669,309.3167,320.3676,3.5727
670,670,0.0000,0.0000,0.0000
671,671,341.7500,337.3627,1.2838
672,672,333.5833,345.1145,3.4568
673,673,262.8000,271.1536,3.1787
674,674,288.3833,297.0949,3.0208
675,675,0.0000,0.0000,0.0000
676,676,311.2833,318.3842,2.2811
677,677,298.7667,299.7929,0.3435
678,678,299.5167,316.6606,5.7239
679,679,334.0333,348.8634,4.4397
680,680,247.7000,260.9861,5.3638
681,681,350.5000,366.2835,4.5031
682,682,268.3333,273.0067,1.7416
683,683,301.6333,311.1118,3.1424
